name,author,description,deleteAfter,hrtime,location,tags,website
Data Science für Fortgeschrittene (Fortsetzung),Jugend Hackt,COMPLETE ME,1,Sa. 19.10.2024 | 14:00 – 17:00,xHain hack+makespace Grünberger Str. 16 10243 Berlin,"Workshop, Programmieren",https://jugendhackt.org/lab/berlin/
"Wearables: Bring deine Kleidung zum Leuchten! Workshop für Mädchen, inter, trans, nicht-binäre und agender Jugendliche",Jugend Hackt,COMPLETE ME,1,Fr. 25.10.2024 | 16:00 – 19:00,"Oranienstraße 19A, Hinterhof (2. Stock) 10999 Berlin","Workshop, Programmieren",https://jugendhackt.org/lab/berlin/
Einführung in die Programmierung mit Ruby,Jugend Hackt,COMPLETE ME,1,Fr. 08.11.2024 | 16:00 – 19:00,"Oranienstraße 19A, Hinterhof (2. Stock) 10999 Berlin","Workshop, Programmieren",https://jugendhackt.org/lab/berlin/
Hardware programmieren: Ampelschaltung mit Arduino,Jugend Hackt,COMPLETE ME,1,Sa. 23.11.2024 | 14:00 – 17:00,xHain hack+makespace Grünberger Str. 16 10243 Berlin,"Workshop, Programmieren",https://jugendhackt.org/lab/berlin/
Lass uns über KI reden: Wie geht man ethisch mit Daten um?,Jugend Hackt,COMPLETE ME,1,Fr. 13.12.2024 | 16:00 – 19:00,"Oranienstraße 19A, Hinterhof (2. Stock) 10999 Berlin","Workshop, Programmieren",https://jugendhackt.org/lab/berlin/
Queer Cook-out,Queerdom Jugendzentrum,"Wir treffen uns jeden 1. Freitag im Monat, um in gemütlicher Atmosphäre zusammen zu kochen und zu essen. Auf Spendenbasis.",0,Freitags Jeden ersten Freitag im Monat / 18-21:00,"Villa Lützow - Lützowstr. 28, 10785 Berlin","Kochen, Identität, Safe-Space",https://queere-jugend-berlin.de/event-recurring/queer-cook-out%f0%9f%8d%95%f0%9f%8d%b4%f0%9f%8c%88/
Worth a shot – Trans-masc*peer support group,Queerdom Jugendzentrum,"A support group for people who take testosterone around the topic of health (physical, mental) and sexualities. For any age of ways to take T.",0,Freitags 2. Freitag im Monat / 19-21 Uhr,"Villa Lützow - Lützowstr. 28, 10785 Berlin","Identität, Safe-Space",https://queere-jugend-berlin.de/event-recurring/worth-a-shot-trans-mascpeer-support-group/
Queer Death Café,Queerdom Jugendzentrum,queer discussion group about death and dying,0,Freitags jeder 3. Freitag aller geraden Monaten / 18:30-20:30,"Villa Lützow - Lützowstr. 28, 10785 Berlin","Identität, Safe-Space, Hang-Out",https://queere-jugend-berlin.de/event-recurring/queer-death-cafe/
Queer Base,Queer Base Berlin,"Offener Treff – Queers, Questioning and Allies",0,Freitags / 16-19 Uhr,Queer Base Friedrich-Franz-Str. 11b 12103 Berlin,"Identität, Safe-Space",https://queere-jugend-berlin.de/event-recurring/queer-base/
Abendprogramm im Queerdom,Queerdom Jugendzentrum,Wechselndes Abendprogramm,0,Freitags / 19:00 bis 22:00 Uhr,"Villa Lützow - Lützowstr. 28, 10785 Berlin","Identität, Safe-Space, Hang-Out",https://queere-jugend-berlin.de/event-recurring/abendprogramm-im-queeren-jugendzentrum-mitte/
Gartengruppe im queeren Jugendzentrum Mitte,Queeres Jugendzentrum Mitte,Gartengruppe,0,Freitags / 16:00 bis 17:30 Uhr,Queeres Jugendzentrum Mitte,"Identität, Safe-Space, Gärtnerei",https://queere-jugend-berlin.de/event-recurring/gartengruppe-im-queeren-jugendzentrum-mitte/